Type, Selector, SelectorScore, PageScore, PageAndSelectorScore, SelectorWeightedAverageResult 

XPath, .//*[@id='maintable']/tbody/tr[2]/td[7]/a/img, 0.817, 0.090, 0.000, 0.045
Name, address, 0.000, 0.040, 0.000, 0.020
Name, address, 0.000, 0.040, 0.000, 0.020
Name, home, 0.000, 0.040, 0.000, 0.020
Name, home, 0.000, 0.040, 0.000, 0.020
Name, email, 0.000, 0.040, 0.000, 0.020
Name, email, 0.000, 0.040, 0.000, 0.020
XPath, .//*[@id='content']/form[1]/input[19], 0.733, 0.040, 0.000, 0.020
XPath, .//*[@id='content']/div, 0.650, 0.144, 0.857, 0.500
LinkText, home page, 0.300, 0.144, 0.000, 0.072
XPath, .//*[@id='maintable']/tbody/tr[3]/td[7]/a/img, 0.817, 0.090, 0.000, 0.045
Name, address, 0.000, 0.040, 0.000, 0.020
Name, address, 0.000, 0.040, 0.000, 0.020
Name, home, 0.000, 0.040, 0.000, 0.020
Name, home, 0.000, 0.040, 0.000, 0.020
Name, email, 0.000, 0.040, 0.000, 0.020
Name, email, 0.000, 0.040, 0.000, 0.020
XPath, .//*[@id='content']/form[1]/input[19], 0.733, 0.040, 0.000, 0.020
XPath, .//*[@id='content']/div, 0.650, 0.144, 0.857, 0.500
LinkText, home page, 0.300, 0.144, 0.000, 0.072
XPath, .//*[@id='maintable']/tbody/tr[4]/td[7]/a/img, 0.817, 0.090, 0.000, 0.045
Name, address, 0.000, 0.040, 0.000, 0.020
Name, address, 0.000, 0.040, 0.000, 0.020
Name, home, 0.000, 0.040, 0.000, 0.020
Name, home, 0.000, 0.040, 0.000, 0.020
Name, email, 0.000, 0.040, 0.000, 0.020
Name, email, 0.000, 0.040, 0.000, 0.020
XPath, .//*[@id='content']/form[1]/input[19], 0.733, 0.040, 0.000, 0.020
XPath, .//*[@id='content']/div, 0.650, 0.144, 0.857, 0.500
LinkText, home page, 0.300, 0.144, 0.000, 0.072
XPath, .//*[@id='maintable']/tbody/tr[2]/td[4], 0.775, 0.090, 0.000, 0.045
XPath, .//*[@id='maintable']/tbody/tr[2]/td[5], 0.775, 0.090, 0.000, 0.045
XPath, .//*[@id='maintable']/tbody/tr[3]/td[4], 0.775, 0.090, 0.000, 0.045
XPath, .//*[@id='maintable']/tbody/tr[3]/td[5], 0.775, 0.090, 0.000, 0.045
XPath, .//*[@id='maintable']/tbody/tr[4]/td[4], 0.775, 0.090, 0.000, 0.045
XPath, .//*[@id='maintable']/tbody/tr[4]/td[5], 0.775, 0.090, 0.000, 0.045
